Instance,Initial,LS_1Flip,LS_Echange,VND,VNS,CPU Time,Valeur Référence,Diff Initial,Diff LS_1Flip,Diff LS_Echange,Diff VND,Diff VNS,Amélioration (%)
250M30_21,147573,147573,147753,149175,148776,10,150163,-2590,-2590,-2410,-988,-1387,1.09
250M30_21,147573,147573,147753,149175,148473,20,150163,-2590,-2590,-2410,-988,-1690,1.09
100M5_11,42231,42231,42492,42534,42624,20,42757,-526,-526,-265,-223,-133,0.93
100M5_11,42231,42231,42492,42534,42601,40,42757,-526,-526,-265,-223,-156,0.88
500M30_21,297114,297114,297269,299620,299669,20,301675,-4561,-4561,-4406,-2055,-2006,0.86
500M30_21,297114,297114,297269,299620,299644,10,301675,-4561,-4561,-4406,-2055,-2031,0.85
500M30_21,297114,297114,297269,299620,299240,5,301675,-4561,-4561,-4406,-2055,-2435,0.84
500M30_21,297114,297114,297269,299620,299607,40,301675,-4561,-4561,-4406,-2055,-2068,0.84
500M5_21,293203,293203,293696,295372,294687,5,295828,-2625,-2625,-2132,-456,-1141,0.74
500M5_21,293203,293203,293696,295372,294366,10,295828,-2625,-2625,-2132,-456,-1462,0.74
500M5_21,293203,293203,293696,295372,294734,20,295828,-2625,-2625,-2132,-456,-1094,0.74
500M5_21,293203,293203,293696,295372,294359,40,295828,-2625,-2625,-2132,-456,-1469,0.74
100M5_11,42231,42231,42492,42534,42526,5,42757,-526,-526,-265,-223,-231,0.72
500M5_1,119459,119459,119851,119952,119479,5,120148,-689,-689,-297,-196,-669,0.41
500M5_1,119459,119459,119851,119952,119585,10,120148,-689,-689,-297,-196,-563,0.41
500M5_1,119459,119459,119851,119952,119669,20,120148,-689,-689,-297,-196,-479,0.41
500M5_1,119459,119459,119851,119952,119647,40,120148,-689,-689,-297,-196,-501,0.41
